angleX,angleY,angleZ
-70.09,-48.67,-664.16
-71.77,-50.77,-663.95
-73.55,-52.92,-663.71
-75.34,-55.08,-663.48
-77.05,-57.17,-663.24
-78.7,-59.2,-663.01
-80.27,-61.14,-662.79
-81.87,-63.07,-662.57
-83.46,-64.91,-662.35
-84.99,-66.69,-662.11
-86.27,-68.3,-661.74
-87.28,-69.74,-661.43
-88.05,-71.0,-661.12
-88.73,-72.16,-660.83
-89.42,-73.28,-660.6
-90.25,-74.49,-660.43
-91.26,-75.89,-660.32
-92.39,-77.45,-660.22
-93.58,-79.09,-660.12
-94.74,-80.68,-659.99
-95.85,-82.18,-659.79
-96.75,-83.46,-659.59
-97.5,-84.55,-659.42
-98.08,-85.47,-659.28
-98.54,-86.22,-659.19
-99.0,-86.96,-659.15
-99.51,-87.81,-659.16
-100.2,-88.9,-659.2
-101.12,-90.23,-659.27
-102.16,-91.71,-659.33
-30.71,88.6,-1824.85
-33.39,90.32,-1824.75
-36.02,92.08,-1824.6
-38.61,93.86,-1824.42
-41.13,95.67,-1824.18
-43.55,97.51,-1823.89
-45.84,99.43,-1823.56
-47.92,101.43,-1823.2
-49.8,103.49,-1822.83
-51.51,105.57,-1822.47
-32.01,299.11,141.28
-27.29,296.75,141.21
-22.67,294.43,141.18
-18.26,292.08,141.19
-14.05,289.69,141.22
-10.07,287.31,141.3
-6.15,285.04,141.44
-9.42,282.92,141.62
-12.39,280.93,141.86
-15.01,279.1,142.1
-17.22,277.47,142.31
-19.3,275.68,142.42
-21.28,273.79,142.41
-23.49,271.87,142.28
-25.98,269.93,142.06
-28.83,268.08,141.81
-31.76,266.33,141.61
-27.42,264.72,141.48
-23.04,263.34,141.45
-18.51,262.2,141.53
-20.83,261.4,141.75
-23.06,260.54,142.0
-25.13,259.68,142.28
-27.09,258.75,142.58
-29.0,257.72,142.84
-30.87,256.6,143.03
-32.78,255.47,143.12
-34.74,254.4,143.12
-36.79,253.43,143.05
-38.89,252.57,142.97
-41.06,251.98,142.9
-43.21,251.24,142.92
-45.31,250.53,143.02
-47.3,249.8,143.17
-49.26,249.03,143.34
-51.23,248.19,143.53
-53.23,247.26,143.72
-55.34,246.25,143.92
-57.51,245.19,144.11
-59.72,244.17,144.27
-61.88,243.31,144.42
-63.95,242.42,144.52
-65.96,241.6,144.61
-67.96,240.8,144.67
-69.96,239.99,144.74
-71.94,239.16,144.82
-73.95,238.33,144.9
-76.02,237.57,144.99
-78.0,236.89,145.11
-79.9,236.32,145.28
-81.55,236.0,145.54
-83.01,235.59,145.78
-84.32,235.17,146.02
-85.6,234.65,146.21
-86.95,234.02,146.33
-88.46,233.29,146.37
-90.09,232.5,146.37
-91.83,231.71,146.35
-93.56,230.94,146.35
-95.21,230.19,146.4
